key,score,en,fr,es,de,ko,ru,tl,it,nl,sw,ja,ca,ro,pl,sl,zh-cn,pt,id,no,af,vi
disparity,3.0,disparity,disparité,disparidad,ungleichheit,상이,неравенство,pagkakaiba-iba,disparità,ongelijkheid,kutofautiana,格差,disparitat,disparitate,różnica,nesorazmerje,差距,disparidade,perbedaan,ulikhet,ongelykheid,sự chênh lệch
inequality,3.0,inequality,inégalité,desigualdad,ungleichheit,불평등,неравенство,hindi pagkakapantay-pantay,disuguaglianza,ongelijkheid,ukosefu wa usawa,不平等,desigualtat,inegalitate,nierówność,neenakost,不等式,desigualdade,ketidaksamaan,ulikhet,ongelykheid,bất bình đẳng
standardised,3.0,standardised,normalisé,estandarizado,standardisiert,표준화된,стандартизированный,standardized,standardizzato,gestandaardiseerd,sanifu,標準化された,estandarditzat,standardizate,standaryzowane,standardizirana,标准化,padronizado,terstandarisasi,standardisert,gestandaardiseer,tiêu chuẩn hóa
classification,3.0,classification,classification,clasificación,einstufung,분류,классификация,pag-uuri,classificazione,classificatie,uainishaji,分類,classificació,clasificare,klasyfikacja,razvrstitev,分类,classificação,klasifikasi,klassifikasjon,klassifikasie,phân loại
gdp,3.0,GDP,PIB,PIB,bip,gdp,ввп,gdp,pil,bbp,pato la taifa,gdp,pib,pib,pkb,bdp,国内生产总值,pib,pdb,bnp,bbp,gdp
population,2.0,population,population,población,bevölkerung,인구,население,populasyon,popolazione,bevolking,idadi ya watu,人口,població,populatia,populacja,prebivalstvo,人口,população,populasi,befolkning,bevolking,dân số
density,2.0,density,densité,densidad,dichte,밀도,плотность,density,densità,dikte,msongamano,密度,densitat,densitate,gęstość,gostota,密度,densidade,kepadatan,tetthet,digtheid,tỉ trọng
mortality,2.0,mortality,mortalité,mortalidad,mortalität,인류,смертность,mortalidad,mortalità,sterfte,vifo,死亡,mortalitat,mortalitatea,śmiertelność,umrljivost,死亡,mortalidade,kematian,dødelighet,sterflikheid,tỷ lệ tử vong
fertility,2.0,fertility,fertilité,fertilidad,fruchtbarkeit,비옥,рождаемость,pagkamayabong,fertilità,vruchtbaarheid,uzazi,生殖能力,fertilitat,fertilitate,płodność,plodnost,生育能力,fertilidade,kesuburan,fruktbarhet,vrugbaarheid,khả năng sinh sản
migration,2.0,migration,migration,migración,migration,이주,миграция,migrasyon,migrazione,migratie,uhamiaji,移行,migració,migrație,emigracja,migracije,迁移,migração,migrasi,migrasjon,migrasie,di cư
unemployment,2.0,unemployment,chômage,desempleo,arbeitslosigkeit,실업,безработица,kawalan ng trabaho,disoccupazione,werkloosheid,ukosefu wa ajira,失業,atur,şomaj,bezrobocie,brezposelnost,失业,desemprego,pengangguran,arbeidsledighet,werkloosheid,nạn thất nghiệp
poverty,2.0,poverty,pauvreté,pobreza,armut,빈곤,бедность,kahirapan,povertà,armoede,umaskini,貧困,pobresa,sărăcie,ubóstwo,revščina,贫困,pobreza,kemiskinan,fattigdom,armoede,nghèo
wealth,2.0,wealth,richesse,riqueza,reichtum,재산,богатство,kayamanan,ricchezza,rijkdom,utajiri,富,riquesa,avere,bogactwo,bogastvo,财富,fortuna,kekayaan,rikdom,rykdom,sự giàu có
literacy,2.0,literacy,alphabétisation,alfabetización,alphabetisierung,읽고 쓰는 능력,грамотность,karunungang bumasa't sumulat,alfabetizzazione,geletterdheid,kujua kusoma na kuandika,識字,l'alfabetització,alfabetizare,umiejętność czytania i pisania,pismenost,识字能力,alfabetização,literasi,leseferdighet,geletterdheid,biết chữ
urbanisation,2.0,urbanisation,urbanisation,urbanización,urbanisierung,도시화,урбанизация,urbanisasyon,urbanizzazione,verstedelijking,ukuaji wa miji,都市化,urbanització,urbanizare,urbanizacja,urbanizacija,城市化,urbanização,urbanisasi,urbanisering,verstedeliking,đô thị hóa
employment,2.0,employment,emploi,empleo,anstellung,고용,работа,trabaho,occupazione,werkgelegenheid,ajira,雇用,ocupació,angajare,zatrudnienie,zaposlitev,就业,emprego,pekerjaan,arbeid,indiensneming,thuê người làm
labor_force,2.0,labor force,population active,población activa,arbeitskräfte,노동력,рабочая сила,lakas paggawa,forza lavoro,beroepsbevolking,nguvu kazi,労働力,força de treball,forta de munca,siła robocza,delovna sila,劳动力,força de trabalho,angkatan kerja,arbeidsstyrken,arbeidsmag,lực lượng lao động
labor,2.0,labor,travail,mano de obra,arbeit,노동,труд,paggawa,lavoro,werk,kazi,労働,laboral,muncă,praca,delo,劳动,trabalho,tenaga kerja,arbeid,arbeid,nhân công
productivity,2.0,productivity,productivité,productividad,produktivität,생산력,производительность,pagiging produktibo,produttività,productiviteit,tija,生産性,productivitat,productivitate,wydajność,produktivnost,生产率,produtividade,produktivitas,produktivitet,produktiwiteit,năng suất
median,2.0,median,médiane,mediana,mittlere,중앙값,медиана,panggitna,mediano,mediaan,wastani,中央値,mitjana,median,mediana,mediana,中位数,mediana,median,median,mediaan,ở giữa
mean,2.0,mean,méchant,significar,bedeuten,평균,иметь в виду,ibig sabihin,significare,gemeen,maana,平均,vol dir,medie,mieć na myśli,pomeniti,意思是,significar,berarti,bety,beteken,nghĩa là
quintile,2.0,quintile,quintile,quintil,quintil,5분위수,квинтиль,quintile,quintile,kwintiel,quintile,五分位数,quintil,chintilă,kwintyl,kvintil,五分位数,quintil,kuintil,kvintil,kwintiel,ngũ vị phân
quartile,2.0,quartile,quartile,cuartil,quartil,사분위수,квартиль,kuwartil,quartile,kwartiel,quartile,四分位,quartil,quartila,kwartyl,kvartil,四分位数,quartil,kuartil,kvartil,kwartiel,tứ phân vị
percentile,2.0,percentile,centile,percentil,perzentil,백분위수,процентиль,percentile,percentile,percentiel,percentile,パーセンタイル,percentil,percentilă,percentyl,percentil,百分位数,percentil,persentil,persentil,persentiel,phần trăm
coefficient,2.0,coefficient,coefficient,coeficiente,koeffizient,계수,коэффициент,koepisyent,coefficiente,coëfficiënt,mgawo,係数,coeficient,coeficient,współczynnik,koeficient,系数,coeficiente,koefisien,koeffisient,koëffisiënt,hệ số
correlation,2.0,correlation,corrélation,correlación,korrelation,상관관계,корреляция,ugnayan,correlazione,correlatie,uwiano,相関,correlació,corelaţie,korelacja,korelacija,相关性,correlação,korelasi,korrelasjon,korrelasie,sự tương quan
deviation,2.0,deviation,écart,desviación,abweichung,편차,отклонение,paglihis,deviazione,afwijking,kupotoka,偏差,desviació,abatere,odchylenie,odstopanje,偏差,desvio,deviasi,avvik,afwyking,sự lệch lạc
ratio,2.0,ratio,ratio,relación,verhältnis,비율,соотношение,ratio,rapporto,verhouding,uwiano,比率,proporció,raport,stosunek,razmerje,比率,razão,perbandingan,forhold,verhouding,tỷ lệ
indicator,2.0,indicator,indicateur,indicador,indikator,지시자,индикатор,tagapagpahiwatig,indicatore,indicator,kiashiria,インジケータ,indicador,indicator,wskaźnik,indikator,指标,indicador,indikator,indikator,aanwyser,chỉ báo
income,2.0,income,revenu,ingresos,einkommen,소득,доход,kita,reddito,inkomen,mapato,所得,ingressos,venituri,dochód,dohodek,收入,renda,penghasilan,inntekt,inkomste,thu nhập
salary,2.0,salary,salaire,salario,gehalt,샐러리,зарплата,suweldo,stipendio,salaris,mshahara,給料,salari,salariu,wynagrodzenie,plača,薪水,salário,gaji,lønn,salaris,lương
wage,2.0,wage,salaire,salario,lohn,값,заработная плата,sahod,salario,salaris,mshahara,賃金,salari,salariul,płaca,plača,工资,remuneração,gaji,lønn,loon,tiền công
wages,2.0,wages,salaires,salarios,löhne,임금,заработная плата,sahod,salari,loon,mshahara,賃金,salaris,salariile,wynagrodzenie,plače,工资,remunerações,upah,lønn,lone,tiền lương
earnings,2.0,earnings,revenus,ganancias,verdienst,수입,заработок,mga kita,guadagni,inkomsten,mapato,収入,guanys,castiguri,zyski,zaslužek,收益,ganhos,pendapatan,inntjening,verdienste,thu nhập
expenditure,2.0,expenditure,dépense,gasto,ausgaben,지출,расходы,paggasta,spesa,uitgaven,matumizi,支出,despesa,cheltuieli,wydatek,izdatki,支出,despesas,pengeluaran,utgifter,uitgawes,chi tiêu
revenue,2.0,revenue,revenu,ingresos,einnahmen,수익,доход,kita,reddito,winst,mapato,収益,ingressos,venituri,przychód,prihodek,收入,receita,pendapatan,inntekter,inkomste,doanh thu
budget,2.0,budget,budget,presupuesto,budget,예산,бюджет,badyet,bilancio,begroting,bajeti,予算,pressupost,buget,budżet,proračun,预算,orçamento,anggaran,budsjett,begroting,ngân sách
investment,2.0,investment,investissement,inversión,investition,투자,инвестиции,pamumuhunan,investimento,investering,uwekezaji,投資,inversió,investitie,inwestycja,naložba,投资,investimento,investasi,investering,belegging,sự đầu tư
r&d,2.0,R&D,Recherche et développement,Investigación y desarrollo,forschung und entwicklung,연구개발,ниокр,r&d,ricerca e sviluppo,r&d,r&d,研究開発,r+d,r&d,badania i rozwój,raziskave in razvoj,研发,p&d,penelitian dan pengembangan,fou,r&d,r&d
comparison,2.0,comparison,comparaison,comparación,vergleich,비교,сравнение,paghahambing,confronto,vergelijking,kulinganisha,比較,comparació,comparaţie,porównanie,primerjava,比较,comparação,perbandingan,sammenligning,vergelyking,so sánh
thematic,2.0,thematic,thématique,temático,thematisch,어간 형성 모음,тематический,pampakay,tematico,thematisch,mada,テーマ的な,temàtica,tematice,tematyczny,tematski,专题的,temático,tematik,tematisk,tematies,chuyên đề
survey,2.0,survey,enquête,encuesta,umfrage,조사,опрос,survey,sondaggio,vragenlijst,uchunguzi,調査,enquesta,studiu,ankieta,raziskava,民意调查,enquete,survei,undersøkelse,opname,sự khảo sát
bureau,2.0,bureau,bureau,oficina,büro,국,бюро,bureau,ufficio,bureau,ofisi,局,oficina,birou,biuro,biro,局,agência,biro,byrå,buro,văn phòng
average,2.0,average,moyenne,promedio,durchschnitt,평균,средний,karaniwan,media,gemiddeld,wastani,平均,mitjana,medie,przeciętny,povprečje,平均的,média,rata-rata,gjennomsnittlig,gemiddeld,trung bình
county,1.0,county,comté,condado,county,군,графство,county,contea,district,kata,郡,comtat,judetul,hrabstwo,okrožje,县,condado,daerah,fylke,graafskap,quận
counties,1.0,counties,comtés,condados,landkreise,카운티,округа,mga county,contee,provincies,kata,郡,comtats,judete,hrabstwa,okraji,县,condados,kabupaten,fylker,provinsies,quận
country,1.0,country,pays,país,land,국가,страна,bansa,paese,land,nchi,国,país,ţară,kraj,država,国家,país,negara,land,land,quốc gia
region,1.0,region,région,región,region,지역,область,rehiyon,regione,regio,mkoa,地域,regió,regiune,region,regiji,地区,região,wilayah,region,streek,vùng đất
municipality,1.0,municipality,municipalité,municipio,gemeinde,지방 자치체,муниципалитет,munisipalidad,comune,gemeente,manispaa,自治体,municipi,municipalitate,miasto,občina,市政府,município,kotamadya,kommune,munisipaliteit,đô thị
state,1.0,state,état,estado,zustand,상태,состояние,estado,stato,staat,jimbo,州,estat,stat,państwo,stanje,状态,estado,negara,tilstand,staat,tình trạng
states,1.0,states,États,estados,staaten,주,государства,estado,stati,staten,majimbo,州,estats,state,stwierdza,države,州,estados,negara bagian,stater,state,tiểu bang
province,1.0,province,province,provincia,provinz,주,провинция,lalawigan,provincia,provincie,jimbo,州,província,provincie,województwo,provinca,省,província,propinsi,provins,provinsie,tỉnh
provinces,1.0,provinces,provinces,provincias,provinzen,지방,провинции,mga lalawigan,province,provincies,majimbo,地方,províncies,provincii,prowincje,pokrajine,省份,províncias,provinsi,provinser,provinsies,tỉnh
district,1.0,district,district,distrito,bezirk,구역,округ,distrito,quartiere,wijk,wilaya,地区,districte,district,dzielnica,okrožje,区,distrito,daerah,distrikt,distrik,huyện
districts,1.0,districts,districts,distritos,bezirke,지구,районы,mga distrito,distretti,districten,wilaya,地区,districtes,raioane,dzielnice,okrožja,地区,distritos,distrik,distrikter,distrikte,huyện
prefecture,1.0,prefecture,préfecture,prefectura,präfektur,현,префектура,prefecture,prefettura,prefectuur,mkoa,県,prefectura,prefectura,prefektura,prefektura,州,prefeitura,prefektur,prefektur,prefektuur,tỉnh
canton,1.0,canton,canton,cantón,kanton,주,кантон,canton,cantone,kanton,kantoni,カントン,cantó,canton,kanton,kanton,广州,cantão,wilayah,kanton,kanton,bang
oblast,1.0,oblast,oblast,óblast,region,지역,область,rehiyon,regione,regio,mkoa,地域,regió,regiune,region,oblast,地区,região,wilayah,region,streek,vùng đất
commune,1.0,commune,commune,comuna,gemeinsam,흔한,общий,karaniwan,comune,gewoon,kawaida,一般,comú,comun,wspólny,pogosta,常见的,comum,umum,vanlig,algemeen,chung
constituency,1.0,constituency,circonscription électorale,circunscripción,wahlkreis,후원자,избирательный округ,nasasakupan,collegio elettorale,kiesdistrict,eneo bunge,選挙区,circumscripció electoral,circumscripție electorală,okręg wyborczy,volilni okraj,选区,círculo eleitoral,daerah pemilihan,valgkrets,kiesafdeling,khu vực bầu cử
ward,1.0,ward,service,pabellón,station,구,сторожить,ward,reparto,afdeling,kata,区,barri,secție,oddział,oddelek,病房,ala,bangsal,avdeling,wyk,phường
borough,1.0,borough,arrondissement,distrito,bezirk,자치구,район,borough,borgo,gemeente,mtaa,自治区,barri,târg,miasto,občina,行政区,bairro,wilayah,bydel,stad,quận
subdivision,1.0,subdivision,lotissement,subdivisión,unterteilung,재분,подразделение,subdivision,suddivisione,onderverdeling,mgawanyiko,細分化,subdivisió,subdiviziune,poddział,podrazdelitev,细分,subdivisão,bagian,underavdeling,onderverdeling,phân khu
voivodship,1.0,voivodship,voïvodie,voivodato,woiwodschaft,주지사,воеводство,voivodeship,voivodato,woiwodschap,voivodeship,県,voivodat,voievodat,województwo,vojvodstvo,省,voivodia,provinsi,voivodskap,woiwodskap,tỉnh trưởng
voivodships,1.0,voivodships,voïvodies,voivodatos,woiwodschaften,주지사,воеводства,mga voivodship,voivodati,woiwodschappen,voivodships,ヴォイヴォドシップ,voivodats,voievodate,województwa,vojvodstva,省份,voivodias,provinsi,voivodskapene,woiwodskappe,tỉnh trưởng
nuts,1.0,NUTS,NOIX,NUTS,nüsse,견과류,орехи,nuts,noci,noten,kanga,ナッツ,nuts,nuci,orzechy,oreščki,坚果,nozes,gila,nøtter,nuts,hạt
administrative,1.0,administrative,administratif,administrativo,administrativ,행정,административный,administratibo,amministrativo,administratief,kiutawala,管理的な,administrativa,administrativ,administracyjny,upravni,行政,administrativo,administratif,administrative,administratiewe,hành chính
people,1.0,people,personnes,gente,menschen,사람들,люди,mga tao,persone,mensen,watu,人々,persones,oameni,ludzie,ljudi,人们,pessoas,rakyat,mennesker,mense,mọi người
men,1.0,men,hommes,hombres,männer,남자들,мужчины,mga lalaki,uomini,heren,wanaume,男性,homes,bărbați,mężczyźni,moški,男人,homens,laki-laki,men,mans,đàn ông
women,1.0,women,femmes,mujeres,frauen,여성,женщины,mga babae,donne,vrouwen,wanawake,女性,dones,femeilor,kobiety,ženske,女性,mulheres,wanita,kvinner,vroue,phụ nữ
gender,1.0,gender,genre,género,geschlecht,성별,пол,kasarian,genere,geslacht,jinsia,性別,gènere,gen,płeć,spol,性别,gênero,jenis kelamin,kjønn,geslag,giới tính
sex,1.0,sex,sexe,sexo,sex,섹스,секс,kasarian,sesso,seks,ngono,セックス,sexe,sex,seks,seks,性别,sexo,seks,kjønn,seks,tình dục
age,1.0,age,âge,edad,alter,나이,возраст,edad,età,leeftijd,umri,年,edat,vârstă,wiek,starost,年龄,idade,usia,alder,ouderdom,tuổi
aged,1.0,aged,âgé,envejecido,gealtert,늙은,в возрасте,may edad na,invecchiato,oud,mzee,老人,envellit,în vârstă,w wieku,ostarel,老年的,envelhecido,berumur,alderen,bejaardes,già
birth,1.0,birth,naissance,nacimiento,geburt,출생,рождение,kapanganakan,nascita,geboorte,kuzaliwa,誕生,naixement,naştere,narodziny,rojstvo,出生,aniversário,kelahiran,fødsel,geboorte,sinh
deaths,1.0,deaths,décès,muertes,todesfälle,사망자,летальные исходы,mga pagkamatay,deceduti,sterfgevallen,vifo,死亡者（数）,defuncions,decese,zgony,smrti,死亡人数,mortes,meninggal,dødsfall,sterftes,cái chết
inhabitant,1.0,inhabitant,habitant,habitante,sie bewohnen,그들은 거주한다,они населяют,naninirahan sila,abitano,zij bewonen,wanakaa,彼らは住んでいます,habiten,ei locuiesc,zamieszkują,naseljujejo,他们居住,eles habitam,mereka menghuni,de bor,hulle bewoon,họ sinh sống
household,1.0,household,ménage,hogar,haushalt,가정,семья,sambahayan,domestico,huishouden,kaya,家庭,llar,gospodărie,gospodarstwo domowe,gospodinjstvo,家庭,doméstico,rumah tangga,husstand,huishouding,hộ gia đình 
immigrant,1.0,immigrant,immigrant,inmigrante,immigrant,이민,иммигрант,imigrante,immigrato,immigrant,mhamiaji,移民,immigrant,imigrant,imigrant,priseljenec,移民,imigrante,imigran,innvandrer,immigrant,người nhập cư
emigration,1.0,emigration,émigration,emigración,auswanderung,이주,эмиграция,pangingibang-bansa,emigrazione,emigratie,uhamiaji,移民,emigració,emigrare,emigracja,izseljenstvo,移民,emigração,emigrasi,emigrasjon,emigrasie,di cư
education,1.0,education,éducation,educación,ausbildung,교육,образование,edukasyon,istruzione,onderwijs,elimu,教育,educació,educaţie,edukacja,izobraževanje,教育,educação,pendidikan,utdannelse,onderwys,giáo dục
health,1.0,health,santé,salud,gesundheit,건강,здоровье,kalusugan,salute,gezondheid,afya,健康,salut,sănătate,zdrowie,zdravje,健康,saúde,kesehatan,helse,gesondheid,sức khỏe
disease,1.0,disease,maladie,enfermedad,krankheit,질병,болезнь,sakit,malattia,ziekte,ugonjwa,病気,malaltia,boala,choroba,bolezen,疾病,doença,penyakit,sykdom,siekte,bệnh
obesity,1.0,obesity,obésité,obesidad,fettleibigkeit,비만,ожирение,labis na katabaan,obesità,zwaarlijvigheid,fetma,肥満,l'obesitat,obezitatea,otyłość,debelost,肥胖,obesidade,kegemukan,fedme,vetsug,béo phì
smoking,1.0,smoking,tabagisme,fumar,rauchen,흡연,курение,paninigarilyo,fumare,roken,kuvuta sigara,喫煙,fumant,fumat,palenie,kajenje,吸烟,fumar,merokok,røyking,rook,hút thuốc
voting,1.0,voting,vote,votación,wählen,투표,голосование,pagboto,voto,stemmen,kupiga kura,投票,votació,vot,głosowanie,glasovanje,表决,votação,pemungutan suara,stemmegivning,stem,bỏ phiếu
election,1.0,election,élection,elección,wahl,선거,выборы,halalan,elezione,verkiezing,uchaguzi,選挙,elecció,alegere,wybór,volitve,选举,eleição,pemilihan,valg,verkiesing,cuộc bầu cử
ethnic,1.0,ethnic,ethnique,étnico,ethnisch,민족,этнический,etniko,etnico,etnisch,kikabila,エスニック,ètnics,etnic,etniczny,etnično,种族的,étnico,etnis,etnisk,etniese,dân tộc
ethnicity,1.0,ethnicity,origine ethnique,etnia,ethnische zugehörigkeit,민족성,этническая принадлежность,etnisidad,etnia,etniciteit,ukabila,民族性,ètnia,etnie,pochodzenie etniczne,etnična pripadnost,种族,etnia,etnis,etnisitet,etnisiteit,chủng tộc
language,1.0,language,langue,idioma,sprache,언어,язык,wika,lingua,taal,lugha,言語,llengua,limbă,język,jezik,语言,linguagem,bahasa,språk,taal,ngôn ngữ
religion,1.0,religion,religion,religión,religion,종교,религия,relihiyon,religione,religie,dini,宗教,religió,religie,religia,religija,宗教,religião,agama,religion,godsdiens,tôn giáo
tax,1.0,tax,taxe,impuesto,steuer,세,налог,buwis,tassare,belasting,kodi,税,impost,taxa,podatek,davek,税,imposto,pajak,avgift,belasting,thuế
taxes,1.0,taxes,impôts,impuestos,steuern,구실,налоги,buwis,tasse,belastingen,kodi,税金,impostos,taxe,podatki,davki,税收,impostos,pajak,skatter,belasting,thuế
sector,1.0,sector,secteur,sector,sektor,부문,сектор,sektor,settore,sector,sekta,セクタ,sector,sector,sektor,sektor,部门,setor,sektor,sektor,sektor,lĩnh vực
industry,1.0,industry,industrie,industria,industrie,산업,промышленность,industriya,industria,industrie,viwanda,業界,indústria,industrie,przemysł,industrija,行业,indústria,industri,industri,bedryf,ngành công nghiệp
