key,score,en,fr,es,de,ko,ru,tl,it,nl,sw,ja,ca,ro,pl,sl,zh-cn,pt,id,no,af,vi
stock_photo,-5.0,stock photo,photo de stock,foto de archivo,stockfoto,재고 사진,стоковое фото,stock na larawan,foto d'archivio,stockfoto,picha ya hisa,ストックフォト,foto d'estoc,fotografie stoc,zdjęcie stockowe,zaloga fotografija,库存照片,foto de estoque,foto stok,arkivbilde,voorraad foto,ảnh cổ
royalty_free,-5.0,royalty free,libre de droits,libre de regalías,lizenzgebührenfrei,로열티 프리,без лицензионных отчислений,walang royalty,esente da royalty,royalty-vrij,bila mrahaba,ロイヤリティフリー,lliure de drets,fără drepturi de autor,bezpłatne,brezplačno,免版税,livre de royalties,bebas royalti,royaltyfri,royalty vry,tiền bản quyền miễn phí
photography,-5.0,photography,photographie,fotografía,fotografie,사진술,фотография,pagkuha ng litrato,fotografia,fotografie,upigaji picha,写真撮影,fotografia,fotografie,fotografia,fotografija,摄影,fotografia,fotografi,fotografering,fotografie,nhiếp ảnh
aerial_view,-5.0,aerial view,vue aérienne,vista aérea,luftaufnahme,조감도,вид с воздуха,tanawin sa himpapawid,vista aerea,luchtfoto,mtazamo wa angani,空撮,vista aèria,vedere aeriană,widok z lotu ptaka,pogled iz zraka,鸟瞰图,vista aérea,pemandangan udara,luftfoto,lugaansig,nhìn từ trên không
satellite_image,-5.0,satellite image,image satellite,imagen satelital,satellitenbild,위성 이미지,спутниковый снимок,imahe ng satellite,immagine satellitare,satellietbeeld,picha ya satelaiti,衛星画像,imatge de satèl·lit,imagine prin satelit,obraz satelitarny,satelitski posnetek,卫星图像,imagem de satélite,citra satelit,satellittbilde,satellietbeeld,hình ảnh vệ tinh
satellite_imagery,-5.0,satellite imagery,imagerie satellite,imágenes de satélite,satellitenbilder,위성 이미지,спутниковые снимки,imahe ng satellite,immagini satellitari,satellietbeelden,picha za satelaiti,衛星画像,imatges de satèl·lit,imagini prin satelit,zdjęcia satelitarne,satelitske posnetke,卫星图像,imagens de satélite,citra satelit,satellittbilder,satellietbeelde,hình ảnh vệ tinh
old_map,-5.0,old map,ancienne carte,mapa antiguo,alte karte,오래된 지도,старая карта,lumang mapa,vecchia mappa,oude kaart,ramani ya zamani,古い地図,mapa antic,harta veche,stara mapa,stari zemljevid,旧地图,mapa antigo,peta lama,gammelt kart,ou kaart,bản đồ cũ
vintage_map,-5.0,vintage map,carte ancienne,mapa antiguo,vintage-karte,빈티지 지도,старинная карта,vintage na mapa,mappa d'epoca,vintage kaart,ramani ya mavuno,ヴィンテージマップ,mapa vintage,hartă de epocă,zabytkowa mapa,vintage zemljevid,复古地图,mapa antigo,peta antik,vintage kart,vintage kaart,bản đồ cổ điển
antique_map,-5.0,antique map,carte antique,mapa antiguo,antike karte,골동품 지도,антикварная карта,antigong mapa,mappa antica,antieke kaart,ramani ya kale,アンティークマップ,mapa antic,harta antica,antyczna mapa,starinski zemljevid,古董地图,mapa antigo,peta antik,antikt kart,antieke kaart,bản đồ cổ
historical_map,-5.0,historical map,carte historique,mapa historico,historische karte,역사지도,историческая карта,mapang kasaysayan,mappa storica,historische kaart,ramani ya kihistoria,歴史地図,mapa històric,harta istorica,mapa historyczna,zgodovinski zemljevid,历史地图,mapa histórico,peta sejarah,historisk kart,historiese kaart,bản đồ lịch sử
vintage,-5.0,vintage,ancien,antiguo,jahrgang,포도 수확,винтаж,vintage,annata,vintage,mavuno,ビンテージ,vintage,de epocă,klasyczny,vintage,优质的,vintage,antik,årgang,oesjaar,cổ điển
road_map,-4.0,road map,carte routière,mapa vial,straßenkarte,로드맵,дорожная карта,mapa ng daan,carta stradale,wegenkaart,ramani ya barabara,ロードマップ,mapa de carreteres,harta rutiera,mapa drogowa,zemljevid poti,路线图,roteiro,peta jalan,veikart,padkaart,bản đồ đường đi
street_map,-4.0,street map,plan des rues,mapa de calles,stadtplan,거리 지도,карта улиц,mapa ng kalye,mappa stradale,stratenplan,ramani ya mtaani,ストリートマップ,plànol de carrers,harta străzilor,plan ulic,zemljevid ulic,街道地图,mapa de ruas,peta jalan,gatekart,straat kaart,bản đồ đường phố
route_map,-4.0,route map,carte d'itinéraire,mapa de ruta,streckenkarte,노선도,карта маршрута,mapa ng ruta,mappa del percorso,routekaart,ramani ya njia,ルートマップ,mapa de ruta,harta rutei,mapa trasy,zemljevid poti,路线图,mapa de rotas,peta rute,rutekart,roete kaart,bản đồ tuyến đường
transit_map,-4.0,transit map,carte des transports en commun,mapa de transito,transitkarte,대중교통 지도,транзитная карта,mapa ng transit,mappa dei trasporti,ov-kaart,ramani ya usafiri,交通地図,mapa de trànsit,harta de tranzit,mapa tranzytowa,tranzitni zemljevid,交通地图,mapa de trânsito,peta transit,transitt kart,vervoer kaart,bản đồ quá cảnh
subway_map,-4.0,subway map,carte du métro,mapa del metro,u-bahn-karte,지하철 노선도,карта метро,mapa ng subway,mappa della metropolitana,metro kaart,ramani ya subway,地下鉄路線図,mapa del metro,harta metroului,mapa linii metra,zemljevid podzemne železnice,地铁图,mapa do metrô,peta kereta bawah tanah,t-bane kart,metro kaart,bản đồ tàu điện ngầm
metro_map,-4.0,metro map,plan du métro,mapa del metro,u-bahn-karte,지하철 지도,карта метро,mapa ng metro,mappa della metropolitana,metro kaart,ramani ya metro,地下鉄の地図,mapa del metro,harta metroului,mapa metra,zemljevid metroja,地铁地图,mapa do metrô,peta metro,metro kart,metro kaart,bản đồ tàu điện ngầm
bus_route,-4.0,bus route,itinéraire de bus,ruta de autobús,buslinie,버스 노선,автобусный маршрут,ruta ng bus,percorso dell'autobus,busroute,njia ya basi,バス路線,ruta d'autobús,ruta de autobuz,trasa autobusu,avtobusna pot,巴士路线,rota de ônibus,rute bus,bussrute,bus roete,tuyến xe buýt
railway_map,-4.0,railway map,carte ferroviaire,mapa ferroviario,eisenbahnkarte,철도 지도,карта железных дорог,mapa ng riles,mappa ferroviaria,spoorwegkaart,ramani ya reli,鉄道路線図,mapa del ferrocarril,harta căilor ferate,mapę kolejową,zemljevid železnice,铁路地图,mapa ferroviário,peta kereta api,jernbanekart,spoorweg kaart,bản đồ đường sắt
highway_map,-4.0,highway map,carte routière,mapa de carreteras,autobahnkarte,고속도로 지도,карта шоссе,mapa ng highway,mappa autostradale,snelweg kaart,ramani ya barabara kuu,高速道路地図,mapa de carreteres,harta autostrazii,mapa autostrady,zemljevid avtocest,高速公路地图,mapa da rodovia,peta jalan raya,motorvei kart,snelweg kaart,bản đồ đường cao tốc
navigation,-4.0,navigation,navigation,navegación,navigation,항해,навигация,nabigasyon,navigazione,navigatie,urambazaji,ナビゲーション,navegació,navigare,nawigacja,navigacijo,导航,navegação,navigasi,navigasjon,navigasie,điều hướng
travel_map,-4.0,travel map,carte de voyage,mapa de viaje,reisekarte,여행 지도,карта путешествия,mapa ng paglalakbay,mappa di viaggio,reiskaart,ramani ya usafiri,旅行地図,mapa de viatge,harta de călătorie,mapa podróży,zemljevid potovanja,旅游地图,mapa de viagem,peta perjalanan,reisekart,reis kaart,bản đồ du lịch
things_to_do,-4.0,things to do,choses à faire,cosas que hacer,dinge zu tun,해야 할 일,чем заняться,mga bagay na dapat gawin,cose da fare,dingen om te doen,mambo ya kufanya,やるべきこと,coses per fer,lucruri de făcut,rzeczy do zrobienia,stvari za početi,要做的事情,coisas para fazer,hal yang harus dilakukan,ting å gjøre,dinge om te doen,những việc cần làm
attractions,-4.0,attractions,attractions,atracciones,attraktionen,명소,достопримечательности,mga atraksyon,attrazioni,attracties,vivutio,アトラクション,atraccions,atractii,wdzięki kobiece,znamenitosti,景点,atrações,atraksi,attraksjoner,besienswaardighede,điểm tham quan
sightseeing,-4.0,sightseeing,touristique,pasear,besichtigungen,관광,осмотр достопримечательностей,pamamasyal,giro turistico,bezienswaardigheden,utalii,観光,visites turístiques,turistic,zwiedzanie,ogled znamenitosti,观光,passeio turístico,tamasya,sightseeing,besienswaardighede,tham quan
landmarks,-4.0,landmarks,points de repère,puntos de referencia,wahrzeichen,랜드마크,достопримечательности,mga palatandaan,punti di riferimento,oriëntatiepunten,alama za kihistoria,ランドマーク,fites,repere,zabytki,znamenitosti,地标,pontos de referência,landmark,landemerker,landmerke,cột mốc
visitor_guide,-4.0,visitor guide,guide du visiteur,guía de visitantes,besucherführer,방문자 가이드,гид для посетителей,gabay sa bisita,guida per i visitatori,bezoekers gids,mwongozo wa wageni,ビジターガイド,guia del visitant,ghid vizitator,przewodnik dla gości,vodnik za obiskovalce,游客指南,guia do visitante,panduan pengunjung,besøksguide,besoekersgids,hướng dẫn du khách
history,-4.0,history,histoire,historia,geschichte,역사,история,kasaysayan,storia,geschiedenis,historia,歴史,història,istorie,historia,zgodovina,历史,história,sejarah,historie,geskiedenis,lịch sử
historical,-4.0,historical,historique,histórico,historisch,역사적인,исторический,makasaysayan,storico,historisch,kihistoria,歴史的な,històric,istoric,historyczny,zgodovinski,历史的,histórico,historis,historisk,historiese,lịch sử
clipart,-4.0,clipart,clipart,imágenes prediseñadas,clipart,클립 아트,клипарт,clipart,clipart,clipart,clipart,クリップアート,clipart,clipart,clipart,izrezek,剪贴画,clipart,clipart,utklipp,clipart,clipart
vector_graphic,-4.0,vector graphic,graphique vectoriel,gráfico vectorial,vektorgrafik,벡터 그래픽,векторная графика,vector graphic,grafica vettoriale,vectorafbeelding,mchoro wa vekta,ベクターグラフィック,gràfic vectorial,grafică vectorială,grafika wektorowa,vektorska grafika,矢量图形,gráfico vetorial,grafik vektor,vektorgrafikk,vektorgrafika,đồ họa vector
illustration,-4.0,illustration,illustration,ilustración,illustration,삽화,иллюстрация,paglalarawan,illustrazione,illustratie,kielelezo,図,il·lustració,ilustrare,ilustracja,ilustracija,插图,ilustração,ilustrasi,illustrasjon,illustrasie,hình minh họa
cartoon,-4.0,cartoon,dessin animé,dibujos animados,karikatur,만화,мультфильм,cartoon,cartone animato,tekenfilm,katuni,漫画,dibuixos animats,desen animat,rysunek,risanka,卡通片,desenho animado,kartun,karikatur,spotprent,hoạt hình
drawing,-4.0,drawing,dessin,dibujo,zeichnung,그림,рисунок,pagguhit,disegno,tekening,kuchora,描画,dibuix,desen,rysunek,risanje,绘画,desenho,menggambar,tegning,tekening,vẽ
sketch,-4.0,sketch,esquisser,bosquejo,skizzieren,스케치,эскиз,sketch,schizzo,schetsen,mchoro,スケッチ,esbós,schiţa,naszkicować,skica,草图,esboço,sketsa,skisse,skets,phác họa
rendering,-4.0,rendering,rendu,representación,rendern,표현,рендеринг,rendering,rendering,weergave,utoaji,レンダリング,renderització,redare,wykonanie,upodabljanje,渲染,renderização,rendering,gjengivelse,lewering,kết xuất
3d_model,-4.0,3d model,modèle arrière,modelo trasero,heckmodell,후면 모델,3d model,modelo sa likuran,modello posteriore,achtermodel,mfano wa nyuma,リアモデル,model posterior,modelul din spate,model tylny,zadnji model,后部模型,modelo traseiro,model belakang,bakre modell,agterste model,mô hình phía sau
3d_rendering,-4.0,3d rendering,rendu 3d,representación 3d,3d-rendering,3d 렌더링,3d rendering,3d rendering,rappresentazione 3d,3d-weergave,utoaji wa 3d,3dレンダリング,renderització 3d,randare 3d,renderowania 3d,3d upodobitev,3d 渲染,renderização 3d,rendering 3d,3d-gjengivelse,3d-weergawe,kết xuất 3d
3d,-4.0,3d,bâtiment,edificio,gebäude,건물,3d,gusali,edificio,gebouw,jengo,建物,edifici,clădire,budynek,zgradba,建筑,prédio,bangunan,bygning,gebou,xây dựng
surface,-4.0,surface,surface,superficie,oberfläche,표면,поверхность,ibabaw,superficie,oppervlak,uso,表面,superfície,suprafaţă,powierzchnia,površino,表面,superfície,permukaan,flate,oppervlak,bề mặt
clicking,-4.0,clicking,en cliquant,haciendo clic,klicken,클릭,щелчок,pag-click,cliccando,klikken,kubofya,クリックする,fent clic,făcând clic,kliknięcie,klikanje,点击,clicando,mengklik,klikke,klik,nhấp chuột
illustratie,-4.0,illustratie,illustration,ilustración,illustration,삽화,иллюстрация,paglalarawan,illustrazione,illustratie,kielelezo,図,il·lustració,ilustrare,ilustracja,ilustracija,插图,ilustração,ilustrasi,illustrasjon,illustrasie,hình minh họa
topographic,-4.0,topographic,topographique,topográfico,topographisch,지형,топографический,topograpiko,topografico,topografisch,topografia,地形的な,topogràfica,topografice,topograficzne,topografski,地形,topográfico,topografi,topografisk,topografiese,địa hình
topographical,-4.0,topographical,topographique,topográfico,topographisch,지형적인,топографический,topograpiya,topografico,topografisch,topografia,地形的な,topogràfics,topografic,topograficzne,topografski,地形的,topográfico,topografi,topografisk,topografiese,địa hình
relief_map,-4.0,relief map,carte en relief,mapa en relieve,reliefkarte,구호 지도,карта рельефа,mapa ng lunas,mappa in rilievo,reliëf kaart,ramani ya misaada,レリーフマップ,mapa de relleu,hartă în relief,mapa plastyczna,reliefni zemljevid,地形图,mapa de relevo,peta bantuan,relieff kart,reliëf kaart,bản đồ cứu trợ
terrain_map,-4.0,terrain map,carte du terrain,mapa del terreno,geländekarte,지형 지도,карта местности,mapa ng lupain,mappa del terreno,terrein kaart,ramani ya ardhi,地形図,mapa del terreny,harta terenului,mapa terenu,zemljevid terena,地形图,mapa do terreno,peta medan,terrengkart,terrein kaart,bản đồ địa hình
physical_map,-4.0,physical map,carte physique,mapa fisico,physische karte,물리적 지도,физическая карта,pisikal na mapa,mappa fisica,fysieke kaart,ramani ya kimwili,物理マップ,mapa físic,harta fizica,mapa fizyczna,fizični zemljevid,实物图,mapa físico,peta fisik,fysisk kart,fisiese kaart,bản đồ vật lý
contour_map,-4.0,contour map,carte de contour,mapa de contorno,konturkarte,등고선 지도,контурная карта,contour map,mappa dei contorni,contourkaart,ramani ya contour,等高線図,mapa de contorns,hartă de contur,mapa konturowa,konturni zemljevid,等高线图,mapa de contorno,peta kontur,konturkart,kontoer kaart,bản đồ đường viền
geological,-4.0,geological,géologique,geológico,geologisch,지질학상의,геологический,heolohikal,geologico,geologisch,kijiolojia,地質学的,geològic,geologice,geologiczny,geološki,地质学的,geológico,geologis,geologisk,geologiese,địa chất
photo,-3.0,photo,photo,foto,foto,사진,фото,larawan,foto,foto,picha,写真,foto,fotografie,zdjęcie,fotografija,照片,foto,foto,bilde,foto,bức ảnh
photos,-3.0,photos,des photos,fotos,fotos,사진,фотографии,mga larawan,foto,foto's,picha,写真,fotos,fotografii,zdjęcia,fotografije,照片,fotos,foto,bilder,foto's,những bức ảnh
photograph,-3.0,photograph,photographier,fotografía,foto,사진,фотография,litrato,fotografia,foto,picha,写真,fotografia,fotografie,fotografia,fotografija,照片,fotografia,foto,fotografi,foto,bức ảnh
image,-3.0,image,image,imagen,bild,영상,изображение,larawan,immagine,afbeelding,picha,画像,imatge,imagine,obraz,slika,图像,imagem,gambar,bilde,beeld,hình ảnh
images,-3.0,images,photos,imágenes,bilder,이미지,изображения,mga larawan,immagini,afbeeldingen,picha,画像,imatges,imagini,obrazy,slike,图片,imagens,gambar,bilder,beelde,hình ảnh
screenshot,-3.0,screenshot,capture d'écran,captura de pantalla,screenshot,스크린샷,скриншот,screenshot,schermata,schermafdruk,picha ya skrini,スクリーンショット,captura de pantalla,captură de ecran,zrzut ekranu,posnetek zaslona,截屏,captura de tela,tangkapan layar,skjermbilde,skermkiekie,ảnh chụp màn hình
foto,-3.0,foto,photo,foto,foto,사진,фото,larawan,foto,foto,picha,写真,foto,fotografie,zdjęcie,fotografija,照片,foto,foto,foto,foto,ảnh
fotos,-3.0,fotos,des photos,fotos,fotos,사진,фотографии,mga larawan,foto,foto's,picha,写真,fotos,fotografii,zdjęcia,fotografije,照片,fotos,foto,bilder,foto's,những bức ảnh
thumbnail,-3.0,thumbnail,vignette,uña del pulgar,miniaturansicht,미리보기 이미지,миниатюра,thumbnail,miniatura,miniatuur,kijipicha,サムネイル,miniatura,miniatură,zwięzły,sličica,缩略图,miniatura,gambar kecil,miniatyrbilde,duimnael,hình thu nhỏ
labeled_continents,-3.0,labeled continents,continents étiquetés,continentes etiquetados,labeled continents,라벨이 붙은 대륙,помеченные континенты,may label na mga kontinente,continenti etichettati,bestempelde continenten,mabara yenye lebo,ラベル付き大陸,continents etiquetats,continente etichetate,oznaczone kontynenty,označene celine,标记的大陆,continentes rotulados,diberi label benua,merkede kontinenter,benoemde vastelande,lục địa được dán nhãn
icon,-3.0,icon,icône,icono,symbol,상,икона,icon,icona,icon,ikoni,アイコン,icona,pictograma,ikona,ikona,图标,ícone,ikon,ikon,ikoon,biểu tượng
icons,-3.0,icons,icônes,iconos,symbole,아이콘,значки,mga icon,icone,pictogrammen,ikoni,アイコン,icones,icoane,ikony,ikone,图标,ícones,ikon,ikoner,ikone,biểu tượng
logo,-3.0,logo,logo,logo,logo,심벌 마크,логотип,logo,logo,logo,nembo,ロゴ,logotip,logo,logo,logotip,标识,logo,logo,logo,logo,biểu tượng
badge,-3.0,badge,badge,insignia,abzeichen,배지,значок,badge,distintivo,kenteken,beji,バッジ,insígnia,insigna,odznaka,značka,徽章,distintivo,lencana,skilt,kenteken,huy hiệu
emblem,-3.0,emblem,emblème,emblema,emblem,상징,эмблема,sagisag,emblema,embleem,nembo,エンブレム,emblema,emblemă,godło,emblem,徽,emblema,lambang,emblem,embleem,biểu tượng
coat_of_arms,-3.0,coat of arms,blason,escudo de armas,wappen,국장,герб,baluti,stemma,wapen,kanzu ya mikono,紋章,escut d'armes,stema,herb,grb,徽章,brasão,lambang,våpenskjold,wapen,huy hiệu
flag,-3.0,flag,drapeau,bandera,flagge,깃발,флаг,bandila,bandiera,vlag,bendera,フラグ,bandera,pavilion,flaga,zastava,旗帜,bandeira,bendera,flagg,vlag,lá cờ
flags,-3.0,flags,drapeaux,banderas,flaggen,깃발,флаги,mga watawat,bandiere,vlaggen,bendera,フラグ,banderes,steaguri,flagi,zastave,旗帜,bandeiras,bendera,flagg,vlae,cờ
vectorpictogram,-3.0,vectorpictogram,vecteurpictogramme,pictograma vectorial,vektorpiktogramm,벡터픽토그램,векторпиктограмма,vectorpictogram,pittogramma vettoriale,vectorpictogram,vectorpictogram,ベクトルピクトグラム,pictograma vectorial,vectorpictogramă,wektorpiktogram,vektorski piktogram,矢量象形图,pictograma vetorial,vektorpiktogram,vektorpiktogram,vektorpiktogram,vectorchữ tượng hình
wallpaper,-3.0,wallpaper,papier peint,papel pintado,tapete,벽지,обои,wallpaper,carta da parati,behang,karatasi ya kupamba ukuta,壁紙,fons de pantalla,tapet,tapeta,ozadje,墙纸,papel de parede,wallpaper,tapet,plakpapier,hình nền
background,-3.0,background,arrière-plan,fondo,hintergrund,배경,фон,background,sfondo,achtergrond,usuli,背景,fons,fundal,tło,ozadje,背景,fundo,latar belakang,bakgrunn,agtergrond,lý lịch
texture,-3.0,texture,texture,textura,textur,조직,текстура,texture,struttura,textuur,muundo,テクスチャ,textura,textură,tekstura,tekstura,质地,textura,tekstur,tekstur,tekstuur,kết cấu
pattern,-3.0,pattern,modèle,patrón,muster,무늬,шаблон,pattern,modello,patroon,muundo,パターン,patró,model,wzór,vzorec,图案,padrão,pola,mønster,patroon,mẫu
poster,-3.0,poster,affiche,póster,poster,포스터,плакат,poster,poster,poster,bango,ポスター,cartell,poster,plakat,plakat,海报,poster,poster,plakat,plakkaat,áp phích
banner,-3.0,banner,bannière,bandera,banner,기치,баннер,banner,bandiera,spandoek,bendera,バナー,pancarta,banner,transparent,transparent,横幅,bandeira,spanduk,banner,banier,ngọn cờ
weather_map,-3.0,weather map,carte météo,mapa del tiempo,wetterkarte,날씨 지도,карта погоды,mapa ng panahon,mappa meteorologica,weerkaart,ramani ya hali ya hewa,天気図,mapa del temps,harta meteo,mapa pogody,vremenska karta,天气图,mapa meteorológico,peta cuaca,værkart,weer kaart,bản đồ thời tiết
cloud_cover,-3.0,cloud cover,couverture nuageuse,cubierta de nubes,wolkendecke,구름 덮개,облачный покров,takip ng ulap,copertura nuvolosa,bewolking,kifuniko cha wingu,雲量,coberta de núvols,acoperire cu nori,zachmurzenie,oblačnost,云层,cobertura de nuvens,tutupan awan,skydekke,wolkbedekking,mây che phủ
temperature_map,-3.0,temperature map,carte de température,mapa de temperatura,temperaturkarte,온도 지도,карта температуры,mapa ng temperatura,mappa della temperatura,temperatuur kaart,ramani ya joto,温度マップ,mapa de temperatures,harta temperaturii,mapa temperatur,temperaturni zemljevid,温度图,mapa de temperatura,peta suhu,temperaturkart,temperatuur kaart,bản đồ nhiệt độ
climatic,-3.0,climatic,climatique,climático,klimatisch,기후,климатический,klimatiko,climatico,klimatologisch,hali ya hewa,気候的な,climàtic,climatice,klimatyczny,podnebne,气候,climático,iklim,klimatiske,klimaatstoestande,khí hậu
climate_map,-3.0,climate map,carte climatique,mapa climático,klimakarte,기후 지도,климатическая карта,mapa ng klima,mappa climatica,klimaat kaart,ramani ya hali ya hewa,気候地図,mapa climàtic,harta climei,mapa klimatyczna,podnebni zemljevid,气候地图,mapa climático,peta iklim,klimakart,klimaat kaart,bản đồ khí hậu
video,-3.0,video,vidéo,video,video,동영상,видео,video,video,video,video,ビデオ,vídeo,video,wideo,video,视频,vídeo,video,video,video,băng hình
animation,-3.0,animation,animation,animación,animation,생기,анимация,animation,animazione,animatie,uhuishaji,アニメーション,animació,animaţie,ożywienie,animacija,动画片,animação,animasi,animasjon,animasie,hoạt hình
animated,-3.0,animated,animé,animado,animiert,생기 있는,анимированный,animated,animato,geanimeerd,uhuishaji,アニメーション化された,animat,animat,ożywiony,animirani,动画,animado,animasi,animert,geanimeerde,hoạt hình
footage,-3.0,footage,images,imágenes,filmmaterial,피트 길이,отснятый материал,footage,filmato,filmmateriaal,picha,映像,metratge,filmare,materiał filmowy,posnetek,镜头,imagens de vídeo,rekaman,opptak,beeldmateriaal,cảnh quay
building,-2.0,building,bâtiment,edificio,gebäude,건물,здание,gusali,edificio,gebouw,jengo,建物,edifici,clădire,budynek,zgradba,建筑,prédio,bangunan,bygning,gebou,xây dựng
buildings,-2.0,buildings,bâtiments,edificios,gebäude,건물,здания,mga gusali,edifici,gebouwen,majengo,建物,edificis,cladiri,zabudowania,zgradbe,建筑物,edifícios,bangunan,bygninger,geboue,các tòa nhà
apartment,-2.0,apartment,appartement,departamento,wohnung,아파트,квартира,apartment,appartamento,appartement,ghorofa,アパート,apartament,apartament,apartament,stanovanje,公寓,apartamento,apartemen,leilighet,woonstel,căn hộ
apartments,-2.0,apartments,appartements,apartamentos,wohnungen,아파트,апартаменты,mga apartment,appartamenti,appartementen,vyumba,アパート,apartaments,apartamente,mieszkanie,stanovanja,公寓,apartamentos,apartemen,leiligheter,woonstelle,căn hộ
residential,-2.0,residential,résidentiel,residencial,wohnen,주거용,жилой,tirahan,residenziale,residentieel,makazi,居住の,residencial,rezidențial,mieszkaniowy,stanovanjski,住宅,residencial,perumahan,bolig,residensieel,khu dân cư
parking,-2.0,parking,parking,aparcamiento,parken,주차,стоянка,paradahan,parcheggio,parkeren,maegesho,駐車場,aparcament,parcare,parking,parkiranje,停車處,estacionamento,parkir,parkering,parkering,bãi đậu xe
garage,-2.0,garage,garage,cochera,garage,차고,гараж,garahe,garage,garage,karakana,ガレージ,garatge,garaj,garaż,garaža,车库,garagem,garasi,garasje,motorhuis,ga-ra 
satellite,-2.0,satellite,satellite,satélite,satellit,위성,спутник,satellite,satellitare,satelliet,satelaiti,衛星,satèl·lit,satelit,satelita,satelit,卫星,satélite,satelit,satellitt,satelliet,vệ tinh
road,-2.0,road,route,camino,straße,도로,дорога,daan,strada,weg,barabara,道,carretera,drum,droga,cesta,路,estrada,jalan,vei,pad,đường
roads,-2.0,roads,routes,caminos,straßen,도로,дороги,mga kalsada,strade,wegen,barabara,道路,carreteres,drumuri,drogi,ceste,道路,estradas,jalan raya,veier,paaie,đường
route,-2.0,route,itinéraire,ruta,route,노선,маршрут,ruta,itinerario,route,njia,ルート,ruta,traseu,trasa,pot,路线,rota,rute,rute,roete,tuyến đường
street,-2.0,street,rue,calle,straße,거리,улица,kalye,strada,straat,mtaani,通り,carrer,stradă,ulica,ulica,街道,rua,jalan,gate,straat,đường phố
streets,-2.0,streets,rues,calles,straßen,시가,улицы,mga lansangan,strade,straten,mitaa,通り,carrers,străzi,ulice,ulice,街道,ruas,jalanan,gater,strate,đường phố
highway,-2.0,highway,autoroute,carretera,autobahn,고속도로,шоссе,highway,autostrada,snelweg,barabara kuu,高速道路,carretera,autostrada,autostrada,avtocesta,公路,autoestrada,jalan raya,hovedvei,snelweg,đường cao tốc
motorway,-2.0,motorway,autoroute,autopista,autobahn,고속 도로,автомагистраль,motorway,autostrada,snelweg,barabara,高速道路,autopista,autostrada,autostrada,avtocesta,高速公路,autoestrada,jalan raya,motorvei,snelweg,đường cao tốc
metro,-2.0,metro,métro,metro,metro,지하철,метро,metro,metropolitana,metro,metro,地下鉄,metro,metroul,metro,metro,地铁,metrô,metro,metro,metro,tàu điện ngầm
subway,-2.0,subway,métro,metro,u-bahn,지하철,метро,subway,metropolitana,metro,njia ya chini ya ardhi,地下鉄,metro,metrou,metro,podzemna železnica,地铁,metrô,kereta bawah tanah,t-bane,metro,tàu điện ngầm
